name,ncbi,wiki,protein,enzyme
ispA,https://www.ncbi.nlm.nih.gov/gene?term=945064,http://ecoliwiki.net/colipedia/index.php/b0421,https://www.ncbi.nlm.nih.gov/protein/NP_414955.1,https://enzyme.expasy.org/EC/2.5.1.12.5.1.10
folK,https://www.ncbi.nlm.nih.gov/gene?term=948792,http://ecoliwiki.net/colipedia/index.php/b0142,https://www.ncbi.nlm.nih.gov/protein/NP_414684.1,https://enzyme.expasy.org/EC/2.7.6.3
yagG,https://www.ncbi.nlm.nih.gov/gene?term=944947,http://ecoliwiki.net/colipedia/index.php/b0270,https://www.ncbi.nlm.nih.gov/protein/NP_414804.1,
lolD,https://www.ncbi.nlm.nih.gov/gene?term=945670,http://ecoliwiki.net/colipedia/index.php/b1117,https://www.ncbi.nlm.nih.gov/protein/NP_415635.4,
murG,https://www.ncbi.nlm.nih.gov/gene?term=946321,http://ecoliwiki.net/colipedia/index.php/b0090,https://www.ncbi.nlm.nih.gov/protein/NP_414632.1,https://enzyme.expasy.org/EC/2.4.1.227
ftsA,https://www.ncbi.nlm.nih.gov/gene?term=944778,http://ecoliwiki.net/colipedia/index.php/b0094,https://www.ncbi.nlm.nih.gov/protein/NP_414636.1,
acpP,https://www.ncbi.nlm.nih.gov/gene?term=944805,http://ecoliwiki.net/colipedia/index.php/b1094,https://www.ncbi.nlm.nih.gov/protein/NP_415612.1,
ftsZ,https://www.ncbi.nlm.nih.gov/gene?term=944786,http://ecoliwiki.net/colipedia/index.php/b0095,https://www.ncbi.nlm.nih.gov/protein/NP_414637.1,
cydA,https://www.ncbi.nlm.nih.gov/gene?term=945341,http://ecoliwiki.net/colipedia/index.php/b0733,https://www.ncbi.nlm.nih.gov/protein/NP_415261.2,https://enzyme.expasy.org/EC/1.9.3.-
lptD,https://www.ncbi.nlm.nih.gov/gene?term=945011,http://ecoliwiki.net/colipedia/index.php/b0054,https://www.ncbi.nlm.nih.gov/protein/NP_414596.1,
secA,https://www.ncbi.nlm.nih.gov/gene?term=944821,http://ecoliwiki.net/colipedia/index.php/b0098,https://www.ncbi.nlm.nih.gov/protein/NP_414640.1,
secF,https://www.ncbi.nlm.nih.gov/gene?term=949120,http://ecoliwiki.net/colipedia/index.php/b0409,https://www.ncbi.nlm.nih.gov/protein/NP_414943.1,
can,https://www.ncbi.nlm.nih.gov/gene?term=944832,http://ecoliwiki.net/colipedia/index.php/b0126,https://www.ncbi.nlm.nih.gov/protein/NP_414668.1,https://enzyme.expasy.org/EC/4.2.1.1
holB,https://www.ncbi.nlm.nih.gov/gene?term=945661,http://ecoliwiki.net/colipedia/index.php/b1099,https://www.ncbi.nlm.nih.gov/protein/NP_415617.1,https://enzyme.expasy.org/EC/2.7.7.7
ftsQ,https://www.ncbi.nlm.nih.gov/gene?term=944823,http://ecoliwiki.net/colipedia/index.php/b0093,https://www.ncbi.nlm.nih.gov/protein/NP_414635.1,
dxs,https://www.ncbi.nlm.nih.gov/gene?term=945060,http://ecoliwiki.net/colipedia/index.php/b0420,https://www.ncbi.nlm.nih.gov/protein/NP_414954.1,https://enzyme.expasy.org/EC/2.2.1.7
yafN,https://www.ncbi.nlm.nih.gov/gene?term=944920,http://ecoliwiki.net/colipedia/index.php/b0232,https://www.ncbi.nlm.nih.gov/protein/NP_414767.1,
purB,https://www.ncbi.nlm.nih.gov/gene?term=945695,http://ecoliwiki.net/colipedia/index.php/b1131,https://www.ncbi.nlm.nih.gov/protein/NP_415649.1,https://enzyme.expasy.org/EC/4.3.2.2
pyrH,https://www.ncbi.nlm.nih.gov/gene?term=944989,http://ecoliwiki.net/colipedia/index.php/b0171,https://www.ncbi.nlm.nih.gov/protein/NP_414713.1,https://enzyme.expasy.org/EC/2.7.4.-
cysS,https://www.ncbi.nlm.nih.gov/gene?term=946969,http://ecoliwiki.net/colipedia/index.php/b0526,https://www.ncbi.nlm.nih.gov/protein/NP_415059.1,https://enzyme.expasy.org/EC/6.1.1.16
accA,https://www.ncbi.nlm.nih.gov/gene?term=944895,http://ecoliwiki.net/colipedia/index.php/b0185,https://www.ncbi.nlm.nih.gov/protein/NP_414727.1,https://enzyme.expasy.org/EC/6.4.1.2
lolC,https://www.ncbi.nlm.nih.gov/gene?term=945673,http://ecoliwiki.net/colipedia/index.php/b1116,https://www.ncbi.nlm.nih.gov/protein/NP_415634.1,
